seasons,raceID,position,points,numDriver,driver,constructor,status,lap,time
2010,Bahrain Grand Prix,1,25,8,alonso,ferrari,Finished,49,1:39:20.396
2010,Bahrain Grand Prix,2,18,7,massa,ferrari,Finished,49,+16.099
2010,Bahrain Grand Prix,3,15,2,hamilton,mclaren,Finished,49,+23.182
2010,Bahrain Grand Prix,4,12,5,vettel,red_bull,Finished,49,+38.799
2010,Bahrain Grand Prix,5,10,4,rosberg,mercedes,Finished,49,+40.213
2010,Bahrain Grand Prix,6,8,3,michael_schumacher,mercedes,Finished,49,+44.163
2010,Bahrain Grand Prix,7,6,1,button,mclaren,Finished,49,+45.280
2010,Bahrain Grand Prix,8,4,6,webber,red_bull,Finished,49,+46.360
2010,Bahrain Grand Prix,9,2,15,liuzzi,force_india,Finished,49,+53.008
2010,Bahrain Grand Prix,10,1,9,barrichello,williams,Finished,49,+1:02.489
2010,Bahrain Grand Prix,11,0,11,kubica,renault,Finished,49,+1:09.093
2010,Bahrain Grand Prix,12,0,14,sutil,force_india,Finished,49,+1:22.958
2010,Bahrain Grand Prix,13,0,17,alguersuari,toro_rosso,Finished,49,+1:32.656
2010,Bahrain Grand Prix,14,0,10,hulkenberg,williams,+1 Lap,48,
2010,Bahrain Grand Prix,15,0,19,kovalainen,lotus_racing,+2 Laps,47,
2010,Bahrain Grand Prix,16,0,16,buemi,toro_rosso,Electrical,46,
2010,Bahrain Grand Prix,17,0,18,trulli,lotus_racing,Hydraulics,46,
2010,Bahrain Grand Prix,18,0,22,rosa,sauber,Hydraulics,28,
2010,Bahrain Grand Prix,19,0,21,bruno_senna,hrt,Overheating,17,
2010,Bahrain Grand Prix,20,0,24,glock,virgin,Gearbox,16,
2010,Bahrain Grand Prix,21,0,12,petrov,renault,Suspension,13,
2010,Bahrain Grand Prix,22,0,23,kobayashi,sauber,Hydraulics,11,
2010,Bahrain Grand Prix,23,0,25,grassi,virgin,Hydraulics,2,
2010,Bahrain Grand Prix,24,0,20,chandhok,hrt,Accident,1,
2010,Australian Grand Prix,1,25,1,button,mclaren,Finished,58,1:33:36.531
2010,Australian Grand Prix,2,18,11,kubica,renault,Finished,58,+12.034
2010,Australian Grand Prix,3,15,7,massa,ferrari,Finished,58,+14.488
2010,Australian Grand Prix,4,12,8,alonso,ferrari,Finished,58,+16.304
2010,Australian Grand Prix,5,10,4,rosberg,mercedes,Finished,58,+16.683
2010,Australian Grand Prix,6,8,2,hamilton,mclaren,Finished,58,+29.898
2010,Australian Grand Prix,7,6,15,liuzzi,force_india,Finished,58,+59.847
2010,Australian Grand Prix,8,4,9,barrichello,williams,Finished,58,+1:00.536
2010,Australian Grand Prix,9,2,6,webber,red_bull,Finished,58,+1:07.319
2010,Australian Grand Prix,10,1,3,michael_schumacher,mercedes,Finished,58,+1:09.391
2010,Australian Grand Prix,11,0,17,alguersuari,toro_rosso,Finished,58,+1:11.301
2010,Australian Grand Prix,12,0,22,rosa,sauber,Finished,58,+1:14.084
2010,Australian Grand Prix,13,0,19,kovalainen,lotus_racing,+2 Laps,56,
2010,Australian Grand Prix,14,0,20,chandhok,hrt,+5 Laps,53,
2010,Australian Grand Prix,15,0,24,glock,virgin,Suspension,41,
2010,Australian Grand Prix,16,0,25,grassi,virgin,Hydraulics,26,
2010,Australian Grand Prix,17,0,5,vettel,red_bull,Wheel,25,
2010,Australian Grand Prix,18,0,14,sutil,force_india,Engine,9,
2010,Australian Grand Prix,19,0,12,petrov,renault,Spun off,9,
2010,Australian Grand Prix,20,0,21,bruno_senna,hrt,Hydraulics,4,
2010,Australian Grand Prix,21,0,16,buemi,toro_rosso,Collision,0,
2010,Australian Grand Prix,22,0,10,hulkenberg,williams,Collision,0,
2010,Australian Grand Prix,23,0,23,kobayashi,sauber,Collision,0,
2010,Australian Grand Prix,24,0,18,trulli,lotus_racing,Hydraulics,0,
2011,Australian Grand Prix,1,25,1,vettel,red_bull,Finished,58,1:29:30.259
2011,Australian Grand Prix,2,18,3,hamilton,mclaren,Finished,58,+22.297
2011,Australian Grand Prix,3,15,10,petrov,renault,Finished,58,+30.560
2011,Australian Grand Prix,4,12,5,alonso,ferrari,Finished,58,+31.772
2011,Australian Grand Prix,5,10,2,webber,red_bull,Finished,58,+38.171
2011,Australian Grand Prix,6,8,4,button,mclaren,Finished,58,+54.304
2011,Australian Grand Prix,7,6,6,massa,ferrari,Finished,58,+1:25.186
2011,Australian Grand Prix,8,4,18,buemi,toro_rosso,+1 Lap,57,
2011,Australian Grand Prix,9,2,14,sutil,force_india,+1 Lap,57,
2011,Australian Grand Prix,10,1,15,resta,force_india,+1 Lap,57,
2011,Australian Grand Prix,11,0,19,alguersuari,toro_rosso,+1 Lap,57,
2011,Australian Grand Prix,12,0,9,heidfeld,renault,+1 Lap,57,
