year,raceId,driverId,stop,lap,time,duration,round
2011,Australian Grand Prix,alguersuari,1,1,17:05:23,26.898,1
2011,Australian Grand Prix,michael_schumacher,1,1,17:05:52,25.021,1
2011,Australian Grand Prix,webber,1,11,17:20:48,23.426,1
2011,Australian Grand Prix,alonso,1,12,17:22:34,23.251,1
2011,Australian Grand Prix,massa,1,13,17:24:10,23.842,1
2011,Australian Grand Prix,barrichello,1,13,17:24:29,23.643,1
2011,Australian Grand Prix,vettel,1,14,17:25:17,22.603,1
2011,Australian Grand Prix,resta,1,14,17:26:03,24.863,1
2011,Australian Grand Prix,ambrosio,1,14,17:26:50,25.259,1
2011,Australian Grand Prix,buemi,1,15,17:27:34,25.342,1
2011,Australian Grand Prix,heidfeld,1,15,17:27:41,22.994,1
2011,Australian Grand Prix,hamilton,1,16,17:28:24,23.227,1
2011,Australian Grand Prix,petrov,1,16,17:28:39,24.535,1
2011,Australian Grand Prix,rosberg,1,16,17:29:00,23.716,1
2011,Australian Grand Prix,kobayashi,1,16,17:29:06,24.064,1
2011,Australian Grand Prix,sutil,1,16,17:29:08,25.978,1
2011,Australian Grand Prix,trulli,1,16,17:29:49,24.899,1
2011,Australian Grand Prix,button,1,17,17:30:24,16.867,1
2011,Australian Grand Prix,alguersuari,1,17,17:31:06,24.463,1
2011,Australian Grand Prix,kovalainen,1,17,17:31:11,24.865,1
2011,Australian Grand Prix,michael_schumacher,1,17,17:32:08,23.988,1
2011,Australian Grand Prix,glock,1,18,17:33:02,23.792,1
2011,Australian Grand Prix,button,1,19,17:33:53,23.303,1
2011,Australian Grand Prix,perez,1,23,17:40:27,23.438,1
2011,Australian Grand Prix,barrichello,1,23,17:40:45,37.856,1
2011,Australian Grand Prix,webber,1,26,17:44:29,22.520,1
2011,Australian Grand Prix,alonso,1,27,17:46:04,24.733,1
2011,Australian Grand Prix,barrichello,1,28,17:49:07,16.892,1
2011,Australian Grand Prix,buemi,1,29,17:49:47,23.100,1
2011,Australian Grand Prix,heidfeld,1,30,17:51:32,25.098,1
2011,Malaysian Grand Prix,sutil,1,3,16:09:07,31.694,2
2011,Malaysian Grand Prix,barrichello,1,3,16:10:04,32.978,2
2011,Malaysian Grand Prix,webber,1,10,16:21:21,22.572,2
2011,Malaysian Grand Prix,resta,1,11,16:23:16,22.773,2
2011,Malaysian Grand Prix,hamilton,1,12,16:24:40,22.552,2
2011,Malaysian Grand Prix,vettel,1,13,16:26:17,23.019,2
2011,Malaysian Grand Prix,heidfeld,2,13,16:26:28,23.900,2
2011,Malaysian Grand Prix,button,2,13,16:26:29,22.400,2
2011,Malaysian Grand Prix,massa,1,13,16:26:30,29.224,2
2011,Malaysian Grand Prix,trulli,1,13,16:27:03,25.516,2
2011,Malaysian Grand Prix,alonso,2,14,16:28:15,23.152,2
2011,Malaysian Grand Prix,michael_schumacher,2,14,16:28:34,22.576,2
2011,Malaysian Grand Prix,petrov,1,15,16:30:10,23.182,2
2011,Malaysian Grand Prix,buemi,1,15,16:30:23,23.280,2
2011,Malaysian Grand Prix,rosberg,2,15,16:30:37,24.967,2
2011,Malaysian Grand Prix,kovalainen,2,15,16:30:37,29.084,2
2011,Malaysian Grand Prix,alguersuari,1,16,16:32:25,23.584,2
2011,Malaysian Grand Prix,sutil,1,16,16:32:31,22.046,2
2011,Malaysian Grand Prix,kobayashi,2,17,16:33:53,23.280,2
2011,Malaysian Grand Prix,perez,2,17,16:34:14,23.597,2
2011,Malaysian Grand Prix,glock,2,17,16:34:28,24.617,2
2011,Malaysian Grand Prix,ambrosio,2,17,16:34:39,26.252,2
2011,Malaysian Grand Prix,liuzzi,2,17,16:34:56,27.815,2
2011,Malaysian Grand Prix,barrichello,2,17,16:35:41,24.502,2
2011,Malaysian Grand Prix,buemi,3,20,16:39:30,29.843,2
2011,Malaysian Grand Prix,webber,3,22,16:42:37,21.991,2
2011,Malaysian Grand Prix,button,2,23,16:44:11,22.471,2
2011,Malaysian Grand Prix,hamilton,2,24,16:45:48,22.611,2
2011,Malaysian Grand Prix,resta,2,24,16:46:20,22.419,2
2011,Malaysian Grand Prix,vettel,2,25,16:47:27,21.893,2
2011,Chinese Grand Prix,alguersuari,1,9,15:19:36,22.419,3
2011,Chinese Grand Prix,liuzzi,1,9,15:20:00,14.160,3
2011,Chinese Grand Prix,michael_schumacher,1,10,15:21:12,20.522,3
2011,Chinese Grand Prix,webber,1,10,15:21:27,23.442,3
2011,Chinese Grand Prix,maldonado,1,10,15:21:35,23.160,3
2011,Chinese Grand Prix,resta,1,11,15:22:57,21.989,3
2011,Chinese Grand Prix,rosberg,1,12,15:24:32,20.771,3
